departamento,provincia,distrito,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,VOTOS EN BLANCO,23,1.3760000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,VOTOS NULOS,102,6.103999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TOTAL DE VOTOS EMITIDOS,1671,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,TOTAL DE VOTOS VÁLIDOS,653,95.32799999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,VOTOS EN BLANCO,6,0.8760000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,VOTOS NULOS,26,3.796,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,TOTAL DE VOTOS EMITIDOS,685,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,TOTAL DE VOTOS VÁLIDOS,514,94.485,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,VOTOS EN BLANCO,9,1.6540000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,VOTOS NULOS,21,3.86,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,TOTAL DE VOTOS EMITIDOS,544,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,TOTAL DE VOTOS VÁLIDOS,498,93.433,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,VOTOS EN BLANCO,8,1.501,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,VOTOS NULOS,27,5.066,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,TOTAL DE VOTOS EMITIDOS,533,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,TOTAL DE VOTOS VÁLIDOS,1305,93.281,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,VOTOS EN BLANCO,20,1.43,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,VOTOS NULOS,74,5.289000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,TOTAL DE VOTOS EMITIDOS,1399,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,TOTAL DE VOTOS VÁLIDOS,393,93.12799999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,VOTOS EN BLANCO,5,1.185,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,VOTOS NULOS,24,5.686999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,TOTAL DE VOTOS EMITIDOS,422,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,TOTAL DE VOTOS VÁLIDOS,241,96.4,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,VOTOS EN BLANCO,1,0.4,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,VOTOS NULOS,8,3.2,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,TOTAL DE VOTOS EMITIDOS,250,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,TOTAL DE VOTOS VÁLIDOS,432,93.30499999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,VOTOS EN BLANCO,6,1.296,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,VOTOS NULOS,25,5.4,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,TOTAL DE VOTOS EMITIDOS,463,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,TOTAL DE VOTOS VÁLIDOS,195,91.549,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,VOTOS EN BLANCO,2,0.9390000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,VOTOS NULOS,16,7.512,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,TOTAL DE VOTOS EMITIDOS,213,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,TOTAL DE VOTOS VÁLIDOS,383,96.474,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,VOTOS EN BLANCO,4,1.008,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,VOTOS NULOS,10,2.5189999999999997,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,TOTAL DE VOTOS EMITIDOS,397,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,TOTAL DE VOTOS VÁLIDOS,776,94.061,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,VOTOS EN BLANCO,5,0.606,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,VOTOS NULOS,44,5.333,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,TOTAL DE VOTOS EMITIDOS,825,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,TOTAL DE VOTOS VÁLIDOS,187,93.97,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,VOTOS EN BLANCO,4,2.01,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,VOTOS NULOS,8,4.02,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,TOTAL DE VOTOS EMITIDOS,199,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,TOTAL DE VOTOS VÁLIDOS,4465,93.508,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,VOTOS EN BLANCO,41,0.8590000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,VOTOS NULOS,269,5.6339999999999995,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,TOTAL DE VOTOS EMITIDOS,4775,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,TOTAL DE VOTOS VÁLIDOS,4981,93.452,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,VOTOS EN BLANCO,62,1.163,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,VOTOS NULOS,287,5.385,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,TOTAL DE VOTOS EMITIDOS,5330,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,TOTAL DE VOTOS VÁLIDOS,2807,94.703,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,VOTOS EN BLANCO,28,0.9450000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,VOTOS NULOS,129,4.351999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,TOTAL DE VOTOS EMITIDOS,2964,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,TOTAL DE VOTOS VÁLIDOS,940,96.21300000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,VOTOS EN BLANCO,5,0.512,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,VOTOS NULOS,32,3.275,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,TOTAL DE VOTOS EMITIDOS,977,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,BAGUA,TOTAL DE VOTOS VÁLIDOS,12767,93.44900000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,BAGUA,VOTOS EN BLANCO,86,0.629,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,BAGUA,VOTOS NULOS,809,5.922,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,BAGUA,TOTAL DE VOTOS EMITIDOS,13662,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,TOTAL DE VOTOS VÁLIDOS,9602,96.32799999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,VOTOS EN BLANCO,56,0.562,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,VOTOS NULOS,310,3.11,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,TOTAL DE VOTOS EMITIDOS,9968,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,TOTAL DE VOTOS VÁLIDOS,536,89.63199999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,VOTOS EN BLANCO,11,1.839,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,VOTOS NULOS,51,8.527999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,TOTAL DE VOTOS EMITIDOS,598,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,TOTAL DE VOTOS VÁLIDOS,480,96,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,VOTOS EN BLANCO,6,1.2,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,VOTOS NULOS,14,2.8,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,TOTAL DE VOTOS EMITIDOS,500,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,TOTAL DE VOTOS VÁLIDOS,417,95.642,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,VOTOS EN BLANCO,1,0.229,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,VOTOS NULOS,18,4.127999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,TOTAL DE VOTOS EMITIDOS,436,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,TOTAL DE VOTOS VÁLIDOS,282,92.157,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,VOTOS EN BLANCO,6,1.9609999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,VOTOS NULOS,18,5.882,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,TOTAL DE VOTOS EMITIDOS,306,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHURUJA,TOTAL DE VOTOS VÁLIDOS,239,95.6,2021-06-08T00:54:00Z,94.10199999999999
