departamento,provincia,distrito,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,72,72,1,0,73,73,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,73,14781,20519,10260,1,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,158,285,143,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,BALSAS,010103,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,657,1012,506,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,CHETO,010104,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,427,587,294,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,383,732,366,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,695,1523,762,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,GRANADA,010107,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,295,427,214,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,328,418,209,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,2891,3919,1960,0,2021-06-07T20:21:00Z,93.4734
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,1671,2580,1290,0,2021-06-07T20:21:00Z,93.4734
