departamento,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
LIMA,VOTOS NULOS,358665,5.535,2021-06-07T20:21:00Z,93.4734
LIMA,TOTAL DE VOTOS EMITIDOS,6480149,100,2021-06-07T20:21:00Z,93.4734
LORETO,TOTAL DE VOTOS VÁLIDOS,337578,93.12499999999999,2021-06-07T20:21:00Z,93.4734
LORETO,VOTOS EN BLANCO,2841,0.7839999999999999,2021-06-07T20:21:00Z,93.4734
LORETO,VOTOS NULOS,22080,6.091,2021-06-07T20:21:00Z,93.4734
LORETO,TOTAL DE VOTOS EMITIDOS,362499,100,2021-06-07T20:21:00Z,93.4734
MADRE DE DIOS,TOTAL DE VOTOS VÁLIDOS,72276,94.265,2021-06-07T20:21:00Z,93.4734
MADRE DE DIOS,VOTOS EN BLANCO,486,0.634,2021-06-07T20:21:00Z,93.4734
MADRE DE DIOS,VOTOS NULOS,3911,5.101,2021-06-07T20:21:00Z,93.4734
MADRE DE DIOS,TOTAL DE VOTOS EMITIDOS,76673,100,2021-06-07T20:21:00Z,93.4734
MOQUEGUA,TOTAL DE VOTOS VÁLIDOS,109442,94.67299999999999,2021-06-07T20:21:00Z,93.4734
MOQUEGUA,VOTOS EN BLANCO,629,0.544,2021-06-07T20:21:00Z,93.4734
MOQUEGUA,VOTOS NULOS,5529,4.783,2021-06-07T20:21:00Z,93.4734
MOQUEGUA,TOTAL DE VOTOS EMITIDOS,115600,100,2021-06-07T20:21:00Z,93.4734
PASCO,TOTAL DE VOTOS VÁLIDOS,113417,94.31,2021-06-07T20:21:00Z,93.4734
PASCO,VOTOS EN BLANCO,843,0.701,2021-06-07T20:21:00Z,93.4734
PASCO,VOTOS NULOS,6000,4.989000000000001,2021-06-07T20:21:00Z,93.4734
PASCO,TOTAL DE VOTOS EMITIDOS,120260,100,2021-06-07T20:21:00Z,93.4734
PIURA,TOTAL DE VOTOS VÁLIDOS,945129,92.80499999999999,2021-06-07T20:21:00Z,93.4734
PIURA,VOTOS EN BLANCO,7883,0.774,2021-06-07T20:21:00Z,93.4734
PIURA,VOTOS NULOS,65396,6.421,2021-06-07T20:21:00Z,93.4734
PIURA,TOTAL DE VOTOS EMITIDOS,1018408,100,2021-06-07T20:21:00Z,93.4734
PUNO,TOTAL DE VOTOS VÁLIDOS,720108,95.609,2021-06-07T20:21:00Z,93.4734
PUNO,VOTOS EN BLANCO,3473,0.461,2021-06-07T20:21:00Z,93.4734
PUNO,VOTOS NULOS,29599,3.9299999999999997,2021-06-07T20:21:00Z,93.4734
PUNO,TOTAL DE VOTOS EMITIDOS,753180,100,2021-06-07T20:21:00Z,93.4734
SAN MARTIN,TOTAL DE VOTOS VÁLIDOS,427148,92.76400000000001,2021-06-07T20:21:00Z,93.4734
SAN MARTIN,VOTOS EN BLANCO,4614,1.002,2021-06-07T20:21:00Z,93.4734
SAN MARTIN,VOTOS NULOS,28706,6.234,2021-06-07T20:21:00Z,93.4734
SAN MARTIN,TOTAL DE VOTOS EMITIDOS,460468,100,2021-06-07T20:21:00Z,93.4734
TACNA,TOTAL DE VOTOS VÁLIDOS,210167,94.67899999999999,2021-06-07T20:21:00Z,93.4734
TACNA,VOTOS EN BLANCO,1066,0.48000000000000004,2021-06-07T20:21:00Z,93.4734
TACNA,VOTOS NULOS,10745,4.841,2021-06-07T20:21:00Z,93.4734
TACNA,TOTAL DE VOTOS EMITIDOS,221978,100,2021-06-07T20:21:00Z,93.4734
TUMBES,TOTAL DE VOTOS VÁLIDOS,120039,92.56,2021-06-07T20:21:00Z,93.4734
TUMBES,VOTOS EN BLANCO,845,0.652,2021-06-07T20:21:00Z,93.4734
TUMBES,VOTOS NULOS,8804,6.789000000000001,2021-06-07T20:21:00Z,93.4734
TUMBES,TOTAL DE VOTOS EMITIDOS,129688,100,2021-06-07T20:21:00Z,93.4734
CALLAO,TOTAL DE VOTOS VÁLIDOS,598911,93.17699999999999,2021-06-07T20:21:00Z,93.4734
CALLAO,VOTOS EN BLANCO,2914,0.453,2021-06-07T20:21:00Z,93.4734
CALLAO,VOTOS NULOS,40941,6.37,2021-06-07T20:21:00Z,93.4734
CALLAO,TOTAL DE VOTOS EMITIDOS,642766,100,2021-06-07T20:21:00Z,93.4734
UCAYALI,TOTAL DE VOTOS VÁLIDOS,240914,93.452,2021-06-07T20:21:00Z,93.4734
UCAYALI,VOTOS EN BLANCO,2164,0.8390000000000001,2021-06-07T20:21:00Z,93.4734
UCAYALI,VOTOS NULOS,14715,5.708,2021-06-07T20:21:00Z,93.4734
UCAYALI,TOTAL DE VOTOS EMITIDOS,257793,100,2021-06-07T20:21:00Z,93.4734
