departamento,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
MADRE DE DIOS,00000007,FUERZA POPULAR,21559,29.829,28.118000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
MOQUEGUA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,77005,72.537,68.637,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
MOQUEGUA,00000007,FUERZA POPULAR,29154,27.462999999999997,25.985999999999997,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
PASCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,73496,67.262,63.409,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
PASCO,00000007,FUERZA POPULAR,35772,32.73800000000001,30.863,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
PIURA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,373919,39.563,36.716,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
PIURA,00000007,FUERZA POPULAR,571210,60.437,56.089,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
PUNO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,642724,89.254,85.335,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
PUNO,00000007,FUERZA POPULAR,77384,10.745999999999999,10.274,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
SAN MARTIN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,239453,56.1,52.039,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
SAN MARTIN,00000007,FUERZA POPULAR,187378,43.9,40.72200000000001,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
TACNA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,152532,72.577,68.715,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
TACNA,00000007,FUERZA POPULAR,57635,27.423,25.964,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
TUMBES,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,40974,34.134,31.594,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
TUMBES,00000007,FUERZA POPULAR,79065,65.866,60.966,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
CALLAO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,195098,32.575,30.353,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
CALLAO,00000007,FUERZA POPULAR,403813,67.425,62.824,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
UCAYALI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,114956,47.858,44.720000000000006,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
UCAYALI,00000007,FUERZA POPULAR,125246,52.142,48.723000000000006,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
