departamento,provincia,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
ANCASH,CASMA,TOTAL DE VOTOS VÁLIDOS,26240,92.57,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CASMA,VOTOS EN BLANCO,298,1.051,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CASMA,VOTOS NULOS,1808,6.378,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CASMA,TOTAL DE VOTOS EMITIDOS,28346,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,TOTAL DE VOTOS VÁLIDOS,3634,94.759,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,VOTOS EN BLANCO,51,1.33,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,VOTOS NULOS,150,3.9109999999999996,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,TOTAL DE VOTOS EMITIDOS,3835,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,TOTAL DE VOTOS VÁLIDOS,27694,90.551,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,VOTOS EN BLANCO,524,1.7129999999999999,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,VOTOS NULOS,2366,7.736000000000001,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,TOTAL DE VOTOS EMITIDOS,30584,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,TOTAL DE VOTOS VÁLIDOS,34278,93.771,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,VOTOS EN BLANCO,440,1.204,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,VOTOS NULOS,1837,5.0249999999999995,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,TOTAL DE VOTOS EMITIDOS,36555,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,TOTAL DE VOTOS VÁLIDOS,10011,91.167,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,VOTOS EN BLANCO,308,2.8049999999999997,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,VOTOS NULOS,662,6.029,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,TOTAL DE VOTOS EMITIDOS,10981,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,TOTAL DE VOTOS VÁLIDOS,10205,93.026,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,VOTOS EN BLANCO,160,1.4589999999999999,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,VOTOS NULOS,605,5.515,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,TOTAL DE VOTOS EMITIDOS,10970,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,TOTAL DE VOTOS VÁLIDOS,11588,89.753,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,VOTOS EN BLANCO,307,2.3779999999999997,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,VOTOS NULOS,1016,7.869,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,TOTAL DE VOTOS EMITIDOS,12911,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,TOTAL DE VOTOS VÁLIDOS,10466,94.801,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,VOTOS EN BLANCO,109,0.987,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,VOTOS NULOS,465,4.212,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,TOTAL DE VOTOS EMITIDOS,11040,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,TOTAL DE VOTOS VÁLIDOS,242649,91.196,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,VOTOS EN BLANCO,1553,0.584,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,VOTOS NULOS,21872,8.219999999999999,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,TOTAL DE VOTOS EMITIDOS,266074,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,TOTAL DE VOTOS VÁLIDOS,12873,91.93700000000001,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,VOTOS EN BLANCO,275,1.964,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,VOTOS NULOS,854,6.099,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,TOTAL DE VOTOS EMITIDOS,14002,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,TOTAL DE VOTOS VÁLIDOS,29000,90.577,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,VOTOS EN BLANCO,651,2.033,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,VOTOS NULOS,2366,7.39,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,TOTAL DE VOTOS EMITIDOS,32017,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,TOTAL DE VOTOS VÁLIDOS,5844,93.849,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,VOTOS EN BLANCO,89,1.4289999999999998,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,VOTOS NULOS,294,4.721,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,TOTAL DE VOTOS EMITIDOS,6227,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,TOTAL DE VOTOS VÁLIDOS,8159,89.394,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,VOTOS EN BLANCO,241,2.641,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,VOTOS NULOS,727,7.965,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,TOTAL DE VOTOS EMITIDOS,9127,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,TOTAL DE VOTOS VÁLIDOS,3687,90.301,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,VOTOS EN BLANCO,56,1.372,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,VOTOS NULOS,340,8.327,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,TOTAL DE VOTOS EMITIDOS,4083,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,TOTAL DE VOTOS VÁLIDOS,16849,95.197,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,VOTOS EN BLANCO,119,0.6719999999999999,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,VOTOS NULOS,731,4.13,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,TOTAL DE VOTOS EMITIDOS,17699,100,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,OCROS,TOTAL DE VOTOS VÁLIDOS,3371,96.59,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,OCROS,VOTOS EN BLANCO,25,0.716,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,OCROS,VOTOS NULOS,94,2.693,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,OCROS,TOTAL DE VOTOS EMITIDOS,3490,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ABANCAY,TOTAL DE VOTOS VÁLIDOS,57304,94.12799999999999,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ABANCAY,VOTOS EN BLANCO,492,0.808,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ABANCAY,VOTOS NULOS,3083,5.063999999999999,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ABANCAY,TOTAL DE VOTOS EMITIDOS,60879,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,AYMARAES,TOTAL DE VOTOS VÁLIDOS,13914,94.74300000000001,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,AYMARAES,VOTOS EN BLANCO,156,1.062,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,AYMARAES,VOTOS NULOS,616,4.193999999999999,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,AYMARAES,TOTAL DE VOTOS EMITIDOS,14686,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANDAHUAYLAS,TOTAL DE VOTOS VÁLIDOS,78879,94.568,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANDAHUAYLAS,VOTOS EN BLANCO,843,1.011,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANDAHUAYLAS,VOTOS NULOS,3688,4.422,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANDAHUAYLAS,TOTAL DE VOTOS EMITIDOS,83410,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANTABAMBA,TOTAL DE VOTOS VÁLIDOS,5707,94.518,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANTABAMBA,VOTOS EN BLANCO,63,1.043,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANTABAMBA,VOTOS NULOS,268,4.439000000000001,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,ANTABAMBA,TOTAL DE VOTOS EMITIDOS,6038,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,COTABAMBAS,TOTAL DE VOTOS VÁLIDOS,22008,92.315,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,COTABAMBAS,VOTOS EN BLANCO,340,1.426,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,COTABAMBAS,VOTOS NULOS,1492,6.258,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,COTABAMBAS,TOTAL DE VOTOS EMITIDOS,23840,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,TOTAL DE VOTOS VÁLIDOS,11178,93.90100000000001,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,VOTOS EN BLANCO,190,1.596,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,VOTOS NULOS,536,4.503,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,TOTAL DE VOTOS EMITIDOS,11904,100,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,TOTAL DE VOTOS VÁLIDOS,23729,94.977,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,VOTOS EN BLANCO,251,1.005,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,VOTOS NULOS,1004,4.019,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,TOTAL DE VOTOS EMITIDOS,24984,100,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,AREQUIPA,TOTAL DE VOTOS VÁLIDOS,682973,94.18499999999999,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,AREQUIPA,VOTOS EN BLANCO,2508,0.346,2021-06-08T00:54:00Z,94.10199999999999
