departamento,provincia,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
AYACUCHO,LUCANAS,35663,23044,64.616,100,100,143,0,143,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,PARINACOCHAS,18008,11574,64.271,100,100,69,0,69,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,VICTOR FAJARDO,16494,10201,61.846999999999994,98.485,100,66,0,65,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,HUANCA SANCOS,7571,5054,66.755,100,100,31,0,31,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,VILCAS HUAMAN,15873,10397,65.501,100,100,59,0,59,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,PAUCAR DEL SARA SARA,6659,4438,66.647,100,100,30,0,30,0,0,2021-06-08T12:52:00Z,94.78760000000001
AYACUCHO,SUCRE,7708,4749,61.611,100,100,33,0,33,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CAJAMARCA,270878,208510,76.976,99.15299999999999,100,944,0,936,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CAJABAMBA,56049,35779,63.835,97.97,100,197,0,193,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CELENDIN,67222,41505,61.743,99.167,100,240,0,238,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CONTUMAZA,21730,14860,68.38499999999999,100,100,80,0,80,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CUTERVO,97919,60993,62.289,99.70100000000001,100,335,0,334,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,CHOTA,120799,81338,67.333,99.524,100,420,0,418,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,HUALGAYOC,71439,49606,69.438,99.59,100,244,0,243,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,JAEN,157406,109562,69.60499999999999,99.079,100,543,0,538,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,SANTA CRUZ,32122,20354,63.365,100,100,113,0,113,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,SAN MIGUEL,39653,27294,68.832,100,100,144,0,144,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,SAN IGNACIO,102454,70383,68.697,99.157,100,356,0,353,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,SAN MARCOS,39427,25904,65.70100000000001,99.306,100,144,0,143,0,0,2021-06-08T12:52:00Z,94.78760000000001
CAJAMARCA,SAN PABLO,18527,13059,70.486,100,100,68,0,68,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,CUSCO,354039,280192,79.142,99.337,100,1207,0,1199,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,ACOMAYO,19229,14343,74.59,100,100,69,0,69,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,ANTA,48707,37407,76.8,99.405,100,168,0,167,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,CALCA,54375,41071,75.533,100,100,185,0,185,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,CANAS,29976,22962,76.601,100,100,106,0,106,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,CANCHIS,79853,62484,78.24900000000001,99.273,100,275,0,273,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,CHUMBIVILCAS,56496,40561,71.79400000000001,100,100,197,0,197,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,ESPINAR,45665,36021,78.881,100,100,160,0,160,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,LA CONVENCION,106803,70295,65.81700000000001,70.69,70.69,369,153,369,29.310000000000002,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,PARURO,24396,17008,69.71600000000001,100,100,88,0,88,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,PAUCARTAMBO,34593,26686,77.143,100,100,121,0,121,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,QUISPICANCHI,69272,53683,77.49600000000001,99.587,100,242,0,241,0,0,2021-06-08T12:52:00Z,94.78760000000001
CUSCO,URUBAMBA,54574,42892,78.59400000000001,100,100,186,0,186,0,0,2021-06-08T12:52:00Z,94.78760000000001
