departamento,provincia,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
APURIMAC,COTABAMBAS,030500,128,128,0,0,129,129,0,0,0,0,0,0,0,0,0,0,1,129,0,0,0,129,23840,35770,17886,1,2021-06-08T01:18:00Z,94.2231
APURIMAC,GRAU,030600,69,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,69,11904,18250,9127,0,2021-06-08T01:18:00Z,94.2231
APURIMAC,CHINCHEROS,030700,124,124,0,0,124,124,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,124,24984,35242,17623,0,2021-06-08T01:18:00Z,94.2231
AREQUIPA,AREQUIPA,040100,3048,3048,17,4,3078,3078,0,0,0,3,0,0,0,0,0,2,4,3078,0,0,0,3078,725137,892859,446439,30,2021-06-08T01:18:00Z,94.2231
AREQUIPA,CAYLLOMA,040200,265,265,0,0,265,265,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,265,57040,74641,37327,0,2021-06-08T01:18:00Z,94.2231
AREQUIPA,CAMANA,040300,169,169,0,0,169,169,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,169,36930,48565,24284,0,2021-06-08T01:18:00Z,94.2231
AREQUIPA,CARAVELI,040400,95,95,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,95,18707,26213,13109,0,2021-06-08T01:18:00Z,94.2231
AREQUIPA,CASTILLA,040500,96,96,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,96,17862,25959,12985,0,2021-06-08T01:18:00Z,94.2231
AREQUIPA,CONDESUYOS,040600,45,45,0,0,46,46,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,46,7439,11686,5844,1,2021-06-08T01:18:00Z,94.2231
AREQUIPA,ISLAY,040700,157,157,1,0,158,158,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,158,35443,45142,22572,1,2021-06-08T01:18:00Z,94.2231
AREQUIPA,LA UNION,040800,40,40,3,0,43,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,6192,10066,5035,3,2021-06-08T01:18:00Z,94.2231
AYACUCHO,HUAMANGA,050100,729,729,0,2,733,733,0,0,0,2,0,0,0,0,0,0,0,733,0,0,0,733,166044,211224,105616,4,2021-06-08T01:18:00Z,94.2231
AYACUCHO,CANGALLO,050200,91,91,0,0,92,92,0,0,0,0,0,0,0,0,0,0,1,92,0,0,0,92,17453,25205,12604,1,2021-06-08T01:18:00Z,94.2231
AYACUCHO,HUANTA,050300,174,174,2,0,176,176,0,0,69,0,0,0,69,0,0,0,0,245,0,0,0,245,34700,50225,25115,2,2021-06-08T01:18:00Z,94.2231
AYACUCHO,LA MAR,050400,103,103,0,0,103,103,0,0,100,0,0,0,100,0,0,0,0,203,0,0,0,203,17767,29134,14569,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,LUCANAS,050500,143,143,0,0,143,143,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,143,23044,35663,17836,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,PARINACOCHAS,050600,69,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,69,11574,18008,9005,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,VICTOR FAJARDO,050700,65,65,0,0,66,66,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,66,10201,16494,8250,1,2021-06-08T01:18:00Z,94.2231
AYACUCHO,HUANCA SANCOS,050800,31,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,5054,7571,3786,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,VILCAS HUAMAN,050900,59,59,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,59,10397,15873,7938,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,PAUCAR DEL SARA SARA,051000,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,4438,6659,3332,0,2021-06-08T01:18:00Z,94.2231
AYACUCHO,SUCRE,051100,33,33,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,33,4749,7708,3857,0,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CAJAMARCA,060100,937,937,1,2,944,944,0,0,0,1,0,0,0,0,0,0,3,944,0,0,0,944,208707,271178,135594,7,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CAJABAMBA,060200,193,193,0,2,197,197,0,0,0,1,0,0,0,0,0,0,1,197,0,0,0,197,35779,56049,28026,4,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CELENDIN,060300,238,238,0,1,240,240,0,0,0,0,0,0,0,0,0,1,0,240,0,0,0,240,41505,67222,33614,2,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CONTUMAZA,060400,80,80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,80,14860,21730,10867,0,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CUTERVO,060500,334,334,0,1,335,335,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,335,60993,97919,48962,1,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,CHOTA,060600,418,418,0,1,420,420,0,0,0,0,0,0,0,0,0,0,1,420,0,0,0,420,81338,120799,60404,2,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,HUALGAYOC,060700,243,243,0,0,244,244,0,0,0,1,0,0,0,0,0,0,0,244,0,0,0,244,49606,71439,35720,1,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,JAEN,060800,538,538,1,3,543,543,0,0,0,1,0,0,0,0,0,0,0,543,0,0,0,543,109562,157406,78704,5,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,SANTA CRUZ,060900,113,113,0,0,113,113,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,113,20354,32122,16063,0,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,SAN MIGUEL,061000,144,144,0,0,144,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,144,27294,39653,19830,0,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,SAN IGNACIO,061100,353,353,0,1,356,356,0,0,0,2,0,0,0,0,0,0,0,356,0,0,0,356,70383,102454,51229,3,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,SAN MARCOS,061200,143,143,0,1,144,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,144,25904,39427,19715,1,2021-06-08T01:18:00Z,94.2231
CAJAMARCA,SAN PABLO,061300,68,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,13059,18527,9265,0,2021-06-08T01:18:00Z,94.2231
